# palabra	categoria	definicion
serendipia	f.	Hallazgo valioso que se produce de manera accidental o casual.
efímero	adj.	Que dura muy poco tiempo; pasajero.
ataraxia	f.	Serenidad e imperturbabilidad del ánimo.
arrebol	m.	Color rojo que toman las nubes iluminadas por el sol al amanecer o al atardecer.
melifluo	adj.	Dulce, suave y delicado en el trato o en la manera de hablar.
acendrado	adj.	Puro, sin mancha ni defecto.
baladí	adj.	De poca importancia o sustancia.
sempiterno	adj.	Que, habiendo tenido principio, no tendrá fin.
inefable	adj.	Que no se puede explicar con palabras.
resiliencia	f.	Capacidad de adaptarse y sobreponerse a una situación adversa.
nefelibata	adj.	Dicho de una persona: soñadora, que vive como en las nubes y no se percata de la realidad.
alféizar	m.	Parte inferior del hueco de una ventana, donde se apoyan los codos o las macetas.
zaguán	m.	Espacio cubierto que sirve de entrada a una casa, junto a la puerta de la calle.
desasosiego	m.	Falta de sosiego; inquietud.
elocuencia	f.	Facultad de hablar o escribir de modo eficaz para deleitar, conmover o persuadir.
quimera	f.	Aquello que la imaginación presenta como posible o verdadero sin serlo.
lontananza	f.	Lejanía; en un cuadro, los términos más alejados del plano principal.
mequetrefe	m. y f.	Persona entrometida, bulliciosa y de poco provecho.
trasnochar	intr.	Pasar la noche, o gran parte de ella, sin dormir.
sobremesa	f.	Tiempo que se permanece en la mesa conversando después de haber comido.
enjundia	f.	Lo más sustancioso e importante de algo.
vilipendiar	tr.	Despreciar a alguien o algo, o tratarlo con vileza.
azahar	m.	Flor blanca del naranjo, del limonero y del cidro, muy aromática.
crepúsculo	m.	Claridad que hay al amanecer antes de salir el sol, o al anochecer después de ponerse.
idiosincrasia	f.	Rasgos y carácter propios y distintivos de una persona o de una colectividad.
perenne	adj.	Continuo, incesante, que no se interrumpe.
sibilino	adj.	Misterioso u oscuro, con apariencia de importante.
abigarrado	adj.	De varios colores mal combinados; heterogéneo y reunido sin concierto.
añoranza	f.	Pena o nostalgia por la ausencia o pérdida de alguien o algo querido.
vehemente	adj.	Que actúa con ímpetu y pasión, sin reflexionar.
ínclito	adj.	Ilustre, famoso, esclarecido.
recóndito	adj.	Muy escondido, reservado u oculto.
pródigo	adj.	Que gasta sus bienes sin medida; también, muy generoso.
ubérrimo	adj.	Muy abundante y fértil.
procrastinar	tr.	Aplazar o dejar para más tarde lo que se tiene que hacer.
epítome	m.	Resumen de una obra extensa; también, ejemplo máximo de algo.
petricor	m.	Olor característico que desprende la tierra seca al mojarse con la lluvia.
friolero	adj.	Muy sensible al frío.
murmullo	m.	Ruido suave y continuo de voces que no se entienden, o del agua, el viento, etc.
ojalá	interj.	Expresa un vivo deseo de que suceda algo.
