# Fuente: Wikcionario (es.wiktionary.org), CC BY-SA 4.0, vía kaikki.org/Wiktextract
aabam	m.	Nombre que los alquimistas daban al plomo.
aaban	m.	Nombre que los alquimistas daban al plomo.
aacla	f.	Arbusto de la India, abundante en una leche acre que se usa como violento purgante.
aaiba	m.	Especie de arbustillo de las indias orientales.
aak	f.	Embarcación ligera, de fondo plano, redondeada por la popa y la proa, que se usa para la pesca y transporte de vinos en el bajo Rin y en Holanda.
aal	m.	Fruto de esta planta, consumido como alimento o empleado como medicina.
aalclim	m.	Especie de ánade de cola larga y hendida que se encuentra en Kamtchatka.
aalclimo	m.	Especie de ánade de cola larga y hendida que se encuentra en Kamtchatka.
aalcuabe	m.	Lamprea de río muy común en las Indias orientales.
aam	m.	Antigua medida de líquidos usada en Ámsterdam que contiene 128 mingles.
aangitch	m.	Nombre dado a una especie de ganso de las Indias que tiene la cola ahorquillada y larga.
aaronita	adj.	Descendiente de Aarón y lo perteneciente a él.
aarón	m.	Género de plantas, tipo de la familia de las aráceas.
aarónico	adj.	Relativo o perteneciente a Aarón, hermano mayor de Moisés, y su descendencia.
aavora	f.	Fruta que se encuentra en África y en América del tamaño de un huevo de gallina y muy parecida al mamey de la isla de Cuba.
aba	m.	Manto usado por los beduinos.
ababa	f.	(Papaver rhoeas) Planta herbácea de ciclo anual, de origen desconocido pero hoy cosmopolita, dotada de flores rojas empleadas en decoración; los alcaloides de su savia y tallos han tenido uso medicinal y sus semillas se aprecian en gastronomía.
ababangay	m.	Nombre dado a un árbol de Filipinas.
ababil	m.	Ave fabulosa citada en el Corán, que, según la leyenda, era enviada por Alá para atacar a los abisinios.
ababillarse	prnl.	Contraer la babilla, enfermarse con ella.
ababilo	m.	Ave fabulosa citada en el Corán, que, según la leyenda, fue enviada por Alá para atacar a los abisinios.
ababo	m.	Bisabuelo o tatarabuelo.
ababol	m.	(Papaver rhoeas) Planta herbácea de ciclo anual, de origen desconocido pero hoy cosmopolita, dotada de muy características flores rojas empleadas en decoración; los alcaloides de su savia y tallos han tenido uso medicinal, y sus semillas se aprecian en gastronomía.
ababra	f.	Especie de calabaza de Portugal.
ababuy	m.	(Ximenia americana) Arbusto silvestre espinoso, especie de ciruelo.
ababán	m.	(Caesalpinia coriaria) Planta arbórea neotropical de la familia de las fabáceas, rica en taninos, que crece silvestre en las Américas.
abacal	adj.	Que pertenece o concierne al abacá.
abacalero	m. y f.	Persona que trabaja con abacá, bien en su cultivo, transporte o comercialización.
abacanto	m.	Pez de mar sin espina.
abacaro	adj.	Que pertenece o concierne a un pueblo de América del Sur que habitaba en las cercanías del Río Marañón, afluente del Amazonas.
abacero	m. y f.	Persona que tiene una tienda de venta al público con alimentos variados, especialmente no perecederos. (abacería).
abacería	f.	Puesto o tienda pública generalista donde se vende todo tipo de mercancías de uso doméstico, especialmente alimentos no perecederos.
abaceto	m.	Género de coleópteros pentámeros, familia de los caráticos.
abachar	tr.	Mover algo de un sitio o lugar, aballar.
abacia	f.	Género de plantas dicotiledóneas indígenas de la América ecuatorial.
abacial	adj.	Perteneciente o relativo al abad, a la abadesa o a la abadía.
abacio	m. y f.	El que no tiene voz ni voto.
abacora	f.	(Thunnus alalunga y/o Thunnus albacares) Tipo de atún comestible, de carne blanca y con aletas más largas que el bonito, también conocido como albacora.
abacorar	tr.	Avasallar, dominar.
abacteriano	adj.	Que no tiene bacterias.
abacá	m.	(Musa textilis) Planta herbácea perenne perteneciente a la familia Musaceae, Orden Zingiberales. Puede alcanzar hasta seis metros de altura. Es originaria de Asia suroriental. De sus hojas se saca un filamento de uso textil.
